Tue, 02 Jan 2018 19:25:03 _internal.py[line:87] INFO  * Running on https://0.0.0.0:2018/ (Press CTRL+C to quit)
Wed, 03 Jan 2018 13:41:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:41:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:42:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:42:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:43:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:43:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:44:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:44:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:45:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:45:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:46:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:46:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:47:21 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:47:51 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:48:21 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:48:51 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:49:21 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:49:52 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:50:22 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:50:52 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:51:22 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
